
K0120 	medium	yes
K0129 	medium	yes
K0215 	medium	yes
K0229 	low   	yes
K0396 	high  	yes
K0472 	high  	yes
K0506 	low   	yes
K0636 	medium	yes
K0799 	low   	yes
K0840 	high  	yes
K0903 	low   	yes
K0927 	low   	yes
K0944 	low   	yes
K0959 	low   	yes
K0980 	high  	yes
K01126	low   	yes
K01188	low   	yes
K01191	high  	yes
K01254	low   	yes
K01287	high  	yes
K01450	low   	yes
K01545	high  	yes
K01614	high  	yes
K01661	high  	yes
K01729	low   	yes
K01901	medium	yes
K01943	medium	yes
K02880	low   	yes
K02897	low   	yes
K03002	high  	yes
K03156	high  	yes
K03435	high  	yes
K03790	low   	yes
K03805	high  	yes
K03813	medium	yes
K03856	high  	yes
K04368	medium	yes
K04625	high  	yes
K04707	high  	yes
K04764	high  	yes
K04793	low   	yes
K05274	high  	yes
K05426	low   	yes
K05454	low   	yes
K05475	medium	yes
K05527	high  	yes
K05552	medium	yes
K05672	high  	yes
K05790	high  	yes
K05792	high  	yes

